name,salary,team,position,versus,ceiling,ceil/$,floor,fl/$,projected,proj/$,,40700,
Lance Thomas,3500,NYK,SF,MEM,19.7982,5.65663,6.0818,1.73766,12.94,3.69714,0,,
Dejounte Murray,3900,SAS,PG,BKN,29.6144,7.59344,6.0656,1.55528,17.84,4.57436,0,,
Michael Carter-Williams,3600,CHA,PG,WAS,17.6714,4.90872,6.0486,1.68017,11.86,3.29444,0,,
Thon Maker,3700,MIL,C,MIA,18.1351,4.90138,5.8849,1.59051,12.01,3.24595,0,,
Jonas Jerebko,3900,UTA,PF,SAC,23.264,5.96513,5.816,1.49128,14.54,3.72821,0,,
Bryn Forbes,3600,SAS,SG,BKN,22.5462,6.26283,5.8138,1.61494,14.18,3.93889,0,,
Anthony Tolliver,3500,DET,PF,TOR,18.8802,5.39434,5.7998,1.65709,12.34,3.52571,0,,
Tony Snell,3600,MIL,SG,MIA,15.6261,4.34058,5.6339,1.56497,10.63,2.95278,0,,
Stanley Johnson,3600,DET,SF,TOR,13.0707,3.63075,5.4693,1.51925,9.27,2.575,0,,
Darius Miller,3700,NOP,SF,ATL,18.414,4.97676,5.346,1.44486,11.88,3.21081,0,,
Willie Reed,4200,LAC,C,DEN,35.1654,8.37271,5.2546,1.2511,20.21,4.8119,0,,
Frank Ntilikina,3600,NYK,PG,MEM,23.4848,6.52356,5.1552,1.432,14.32,3.97778,0,,
Mike Scott,3500,WAS,PF,CHA,19.7796,5.65131,5.1004,1.45726,12.44,3.55429,0,,
Luke Kennard,3700,DET,SG,TOR,20.5114,5.54362,4.9686,1.34286,12.74,3.44324,0,,
Dante Cunningham,3500,NOP,SF,ATL,15.428,4.408,4.872,1.392,10.15,2.9,0,,
Michael Beasley,5400,NYK,SF,MEM,25.857,4.78833,4.743,0.878333,15.3,2.83333,0,,
Matthew Dellavedova,3500,MIL,PG,MIA,15.8875,4.53929,4.6125,1.31786,10.25,2.92857,0,,
Norman Powell,3800,TOR,SG,DET,20.4836,5.39042,4.4964,1.18326,12.49,3.28684,0,,
Tomas Satoransky ,3500,WAS,PG,CHA,17.4105,4.97443,4.4895,1.28271,10.95,3.12857,0,,
Sam Dekker,3800,LAC,SF,DEN,17.008,4.47579,4.252,1.11895,10.63,2.79737,0,,
Jawun Evans,4100,LAC,PG,DEN,25.6796,6.26332,4.1804,1.01961,14.93,3.64146,0,,
Ian Clark,3600,NOP,PG,ATL,24.4872,6.802,4.1528,1.15356,14.32,3.97778,0,,
Treveon Graham,3500,CHA,SG,WAS,9.8928,2.82651,3.8472,1.0992,6.87,1.96286,0,,
Doug McDermott,3500,NYK,SF,MEM,8.96,2.56,3.84,1.09714,6.4,1.82857,0,,
Kevon Looney,3600,GSW,PF,CHI,33.948,9.43,3.772,1.04778,18.86,5.23889,0,,
Ian Mahinmi,3600,WAS,C,CHA,18.8209,5.22803,3.7191,1.03308,11.27,3.13056,0,,
Davis Bertans,3700,SAS,PF,BKN,33.282,8.99514,3.698,0.999459,18.49,4.9973,0,,
Ekpe Udoh,4200,UTA,C,SAC,21.3796,5.09038,3.4804,0.828667,12.43,2.95952,0,,
Sterling Brown,3500,MIL,SG,MIA,13.888,3.968,3.472,0.992,8.68,2.48,0,,
Tyler Ennis,3500,LAL,PG,OKC,30.06,8.58857,3.34,0.954286,16.7,4.77143,0,,
Georgios Papagiannis,3500,SAC,C,UTA,14.9568,4.27337,3.2832,0.938057,9.12,2.60571,0,,
Josh Huestis,3500,OKC,SF,LAL,14.8902,4.25434,3.0498,0.871371,8.97,2.56286,0,,
Patrick Patterson,3600,OKC,PF,LAL,12.4775,3.46597,3.0225,0.839583,7.75,2.15278,0,,
Josh Hart,3500,LAL,SG,OKC,18.06,5.16,2.94,0.84,10.5,3,0,,
Eric Moreland,3500,DET,PF,TOR,19.0878,5.45366,2.8522,0.814914,10.97,3.13429,0,,
Alec Burks,3500,UTA,SG,SAC,12.6658,3.6188,2.5942,0.7412,7.63,2.18,0,,
Alex Caruso,3500,LAL,SG,OKC,6.4656,1.84731,2.5144,0.7184,4.49,1.28286,0,,
Wayne Selden,3500,MEM,SG,NYK,21.0683,6.01951,2.4717,0.7062,11.77,3.36286,0,,
Nick Young,3500,GSW,SG,CHI,17.9478,5.12794,2.3322,0.666343,10.14,2.89714,0,,
Jameer Nelson,3500,NOP,PG,ATL,8.2524,2.35783,2.3276,0.665029,5.29,1.51143,0,,
Mike Muscala,3500,ATL,C,NOP,10.2201,2.92003,2.3199,0.662829,6.27,1.79143,0,,
Gary Payton,3500,LAL,PG,OKC,17.532,5.00914,1.948,0.556571,9.74,2.78286,0,,
Royce O'Neale,3700,UTA,SF,SAC,16.614,4.49027,1.846,0.498919,9.23,2.49459,0,,
Jahlil Okafor,3500,BKN,C,SAS,15.696,4.48457,1.744,0.498286,8.72,2.49143,0,,
