name,salary,team,position,versus,ceiling,ceil/$,floor,fl/$,projected,proj/$,in/out,,"=sumif(l2:l400,""=1"",b2:b400)",=max(m2:n400)
Fred VanVleet,5000,TOR,PG,CHI,361614,72323,104985,20997,233299,46660,0,=(h122-$h$182)/(b122-$b$182)
Ed Davis,3800,POR,PF,GSW,269712,70976,104888,27602,187300,49289,0,=(h123-$h$142)/(b123-$b$142)
Dillon Brooks,4100,MEM,SF,OKC,303215,73954,103785,25313,203500,49634,0,=(h124-$h$184)/(b124-$b$184)
Kyle O'Quinn,4300,NYK,C,WAS,302023,70237,103377,24041,202700,47139,0
Alex Len,4000,PHO,C,UTA,278276,69569,102924,25731,190600,47650,0
Bam Adebayo,5400,MIA,PF,PHI,371776,68847,101824,18856,236800,43851,0,=(h127-$h$142)/(b127-$b$142)
P.J. Tucker,3700,HOU,SF,SAC,227821,61573,99979,27021,163900,44297,0,=(h128-$h$184)/(b128-$b$184)
Frank Kaminsky,3900,CHA,PF,ORL,257520,66030,97680,25046,177600,45538,0,=(h129-$h$142)/(b129-$b$142)
Justise Winslow,3700,MIA,SF,PHI,233073,62992,97527,26358,165300,44675,0,=(h130-$h$184)/(b130-$b$184)
Mike Muscala,3500,ATL,C,DET,284888,81396,97512,27860,191200,54628,0
Tomas Satoransky ,5600,WAS,PG,NYK,427386,76318,97014,17323,262200,46821,0,=(h132-$h$182)/(b132-$b$182)
Quincy Acy,4400,BKN,PF,IND,274984,62496,96616,21958,185799,42227,0,=(h133-$h$142)/(b133-$b$142)
Ryan Anderson,3600,HOU,PF,SAC,253024,70284,95975,26659,174500,48472,0,=(h134-$h$142)/(b134-$b$142)
T.J. McConnell,5200,PHI,PG,MIA,335088,64440,94512,18175,214800,41307,0,=(h135-$h$182)/(b135-$b$182)
Jerian Grant,6600,CHI,PG,TOR,280050,42431,93350,14143,186700,28287,0,=(h136-$h$182)/(b136-$b$182)
Andrew Harrison,4900,MEM,PG,OKC,303552,61949,93248,19030,198400,40489,0,=(h137-$h$182)/(b137-$b$182)
