Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
104,1586052239,sheckwave (2/2),0,410.7,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Julia Goerges P Belinda Bencic,,,,,
104,1586068529,timurwin (9/12),0,410.7,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Julia Goerges P Belinda Bencic,,,,,
104,1586070424,cwhat,0,410.7,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Julia Goerges P Belinda Bencic,,,,,
104,1586070572,gbrit12 (1/4),0,410.7,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Julia Goerges P Belinda Bencic,,,,,
104,1586070769,danblah25,0,410.7,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Julia Goerges P Belinda Bencic,,,,,
104,1586073549,Skipbidder (24/94),0,410.7,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Julia Goerges P Belinda Bencic,,,,,
104,1586077540,NPitz14 (1/4),0,410.7,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Julia Goerges P Belinda Bencic,,,,,
104,1586078555,davielhorn (2/2),0,410.7,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Julia Goerges P Belinda Bencic,,,,,
104,1586079622,Cannn (8/47),0,410.7,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Julia Goerges P Belinda Bencic,,,,,
104,1586080169,pianoclub (85/94),0,410.7,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Julia Goerges P Belinda Bencic,,,,,
104,1586083090,neal1483,0,410.7,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Julia Goerges P Belinda Bencic,,,,,
104,1586085143,psumav (3/10),0,410.7,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Julia Goerges P Belinda Bencic,,,,,
104,1586086309,AcesEdy (4/20),0,410.7,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Julia Goerges P Belinda Bencic,,,,,
104,1586090485,jackball222,0,410.7,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Julia Goerges P Belinda Bencic,,,,,
104,1586095268,LBennett8,0,410.7,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Julia Goerges P Belinda Bencic,,,,,
104,1586096419,deezy1uc,0,410.7,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Julia Goerges P Belinda Bencic,,,,,
104,1586097074,LeVicomte (15/27),0,410.7,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Julia Goerges P Belinda Bencic,,,,,
104,1586100785,lbressan (3/9),0,410.7,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Julia Goerges P Belinda Bencic,,,,,
104,1586110066,dictator_teddy (74/94),0,410.7,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Julia Goerges P Belinda Bencic,,,,,
104,1586111534,Deek44,0,410.7,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Julia Goerges P Belinda Bencic,,,,,
104,1586118252,dkw793 (4/30),0,410.7,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Julia Goerges P Belinda Bencic,,,,,
104,1586124417,switchhittur (10/14),0,410.7,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Julia Goerges P Belinda Bencic,,,,,
104,1586126690,echoi81,0,410.7,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Julia Goerges P Belinda Bencic,,,,,
104,1586132220,russelld07 (5/5),0,410.7,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Julia Goerges P Belinda Bencic,,,,,
104,1586133046,djmikeblau (3/4),0,410.7,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Julia Goerges P Belinda Bencic,,,,,
104,1586141219,flashman888 (1/5),0,410.7,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Julia Goerges P Belinda Bencic,,,,,
104,1586143845,pipolechap (4/5),0,410.7,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Julia Goerges P Belinda Bencic,,,,,
104,1586144258,Chaga5,0,410.7,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Julia Goerges P Belinda Bencic,,,,,
104,1586144477,bigmorel,0,410.7,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Julia Goerges P Belinda Bencic,,,,,
104,1586149939,trod1107,0,410.7,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Julia Goerges P Belinda Bencic,,,,,
104,1586159439,kingnascar1 (2/3),0,410.7,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Julia Goerges P Belinda Bencic,,,,,
104,1586161896,x-parrot (2/5),0,410.7,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Julia Goerges P Belinda Bencic,,,,,
104,1586166453,ummmno9898 (3/5),0,410.7,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Julia Goerges P Belinda Bencic,,,,,
104,1586167607,CTPjlester66,0,410.7,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Julia Goerges P Belinda Bencic,,,,,
104,1586167881,djtrikee (2/3),0,410.7,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Julia Goerges P Belinda Bencic,,,,,
104,1586172777,FantasyFrat,0,410.7,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Julia Goerges P Belinda Bencic,,,,,
104,1586173449,JELacroix11,0,410.7,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Julia Goerges P Belinda Bencic,,,,,
104,1586175020,Mphst18 (1/3),0,410.7,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Julia Goerges P Belinda Bencic,,,,,
104,1586179417,caseyp1997 (1/3),0,410.7,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Julia Goerges P Belinda Bencic,,,,,
104,1586182440,mmcnally14 (2/2),0,410.7,P Gael Monfils P Bianca Vanessa Andreescu P Elise Mertens P Diego Sebastian Schwartzman P Julia Goerges P Belinda Bencic,,,,,
