Entry ID,Contest Name,Contest ID,Entry Fee,C,C,W,W,W,D,D,G,UTIL,,Instructions,,,,,,,,
,,,,,,,,,,,,,,G,Ilya Samsonov (13776299),Ilya Samsonov,13776299,G,7500,WAS@BOS 11/16/2019 07:00PM ET,WAS,14.26
,,,,,,,,,,,,,,LW,Jonathan Huberdeau (13775258),Jonathan Huberdeau,13775258,W/UTIL,7500,NYR@FLA 11/16/2019 07:00PM ET,FLA,12.43
,,,,,,,,,,,,,,G,Philipp Grubauer (13776281),Philipp Grubauer,13776281,G,7500,COL@VAN 11/16/2019 10:00PM ET,COL,15.64
,,,,,,,,,,,,,,G,Pavel Francouz (13776298),Pavel Francouz,13776298,G,7500,COL@VAN 11/16/2019 10:00PM ET,COL,14.19
,,,,,,,,,,,,,,G,Kasimir Kaskisuo (13776300),Kasimir Kaskisuo,13776300,G,7400,TOR@PIT 11/16/2019 07:00PM ET,TOR,0
,,,,,,,,,,,,,,G,Tristan Jarry (13776301),Tristan Jarry,13776301,G,7400,TOR@PIT 11/16/2019 07:00PM ET,PIT,13.62
,,,,,,,,,,,,,,G,Robin Lehner (13776282),Robin Lehner,13776282,G,7400,CHI@NSH 11/16/2019 08:00PM ET,CHI,19.14
,,,,,,,,,,,,,,C,Patrice Bergeron (13774946),Patrice Bergeron,13774946,C/UTIL,7300,WAS@BOS 11/16/2019 07:00PM ET,BOS,13.42
,,,,,,,,,,,,,,G,John Gibson (13776283),John Gibson,13776283,G,7300,ANH@STL 11/16/2019 08:00PM ET,ANH,13.65
,,,,,,,,,,,,,,G,Adam Werner (13776302),Adam Werner,13776302,G,7300,COL@VAN 11/16/2019 10:00PM ET,COL,14.3
,,,,,,,,,,,,,,G,Antoine Bibeau (13776303),Antoine Bibeau,13776303,G,7300,COL@VAN 11/16/2019 10:00PM ET,COL,2.8
,,,,,,,,,,,,,,LW,Evander Kane (13775260),Evander Kane,13775260,W/UTIL,7300,DET@SJ 11/16/2019 10:30PM ET,SJ,16.29
,,,,,,,,,,,,,,G,Corey Crawford (13776304),Corey Crawford,13776304,G,7200,CHI@NSH 11/16/2019 08:00PM ET,CHI,14.41
,,,,,,,,,,,,,,G,Jonathan Bernier (13776284),Jonathan Bernier,13776284,G,7200,DET@SJ 11/16/2019 10:30PM ET,DET,10.52
,,,,,,,,,,,,,,G,Anders Nilsson (13776285),Anders Nilsson,13776285,G,7100,OTT@BUF 11/16/2019 07:00PM ET,OTT,16.84
,,,,,,,,,,,,,,G,Ryan Miller (13776305),Ryan Miller,13776305,G,7100,ANH@STL 11/16/2019 08:00PM ET,ANH,15.27
,,,,,,,,,,,,,,RW,Patrick Kane (13775262),Patrick Kane,13775262,W/UTIL,7100,CHI@NSH 11/16/2019 08:00PM ET,CHI,14.37
,,,,,,,,,,,,,,G,Henrik Lundqvist (13776286),Henrik Lundqvist,13776286,G,7000,NYR@FLA 11/16/2019 07:00PM ET,NYR,14.86
,,,,,,,,,,,,,,C,Evgeni Malkin (13774948),Evgeni Malkin,13774948,C/UTIL,7000,TOR@PIT 11/16/2019 07:00PM ET,PIT,11.92
,,,,,,,,,,,,,,RW,Mikko Rantanen (13775264),Mikko Rantanen,13775264,W/UTIL,7000,COL@VAN 11/16/2019 10:00PM ET,COL,14
,,,,,,,,,,,,,,D,Brent Burns (13775822),Brent Burns,13775822,D/UTIL,7000,DET@SJ 11/16/2019 10:30PM ET,SJ,12.68
,,,,,,,,,,,,,,G,Jimmy Howard (13776306),Jimmy Howard,13776306,G,7000,DET@SJ 11/16/2019 10:30PM ET,DET,9.1
,,,,,,,,,,,,,,G,Craig Anderson (13776307),Craig Anderson,13776307,G,6900,OTT@BUF 11/16/2019 07:00PM ET,OTT,9.36
,,,,,,,,,,,,,,RW,Brendan Gallagher (13775266),Brendan Gallagher,13775266,W/UTIL,6900,NJ@MON 11/16/2019 07:00PM ET,MON,12.92
,,,,,,,,,,,,,,G,MacKenzie Blackwood (13776287),MacKenzie Blackwood,13776287,G,6900,NJ@MON 11/16/2019 07:00PM ET,NJ,11.95
,,,,,,,,,,,,,,C,Elias Pettersson (13774950),Elias Pettersson,13774950,C/UTIL,6900,COL@VAN 11/16/2019 10:00PM ET,VAN,12.5
,,,,,,,,,,,,,,G,Alexandar Georgiev (13776308),Alexandar Georgiev,13776308,G,6800,NYR@FLA 11/16/2019 07:00PM ET,NYR,11.91
,,,,,,,,,,,,,,D,Roman Josi (13775824),Roman Josi,13775824,D/UTIL,6800,CHI@NSH 11/16/2019 08:00PM ET,NSH,14.9
,,,,,,,,,,,,,,LW,Gabriel Landeskog (13775268),Gabriel Landeskog,13775268,W/UTIL,6800,COL@VAN 11/16/2019 10:00PM ET,COL,8.94
,,,,,,,,,,,,,,LW,Jeff Skinner (13775270),Jeff Skinner,13775270,W/UTIL,6700,OTT@BUF 11/16/2019 07:00PM ET,BUF,12.01
,,,,,,,,,,,,,,G,Cory Schneider (13776309),Cory Schneider,13776309,G,6700,NJ@MON 11/16/2019 07:00PM ET,NJ,2.67
,,,,,,,,,,,,,,C,Mathew Barzal (13774952),Mathew Barzal,13774952,C/UTIL,6700,NYI@PHI 11/16/2019 07:00PM ET,NYI,12
,,,,,,,,,,,,,,LW,Brady Tkachuk (13775274),Brady Tkachuk,13775274,W/UTIL,6600,OTT@BUF 11/16/2019 07:00PM ET,OTT,11.02
,,,,,,,,,,,,,,C,Dylan Larkin (13774954),Dylan Larkin,13774954,C/UTIL,6600,DET@SJ 11/16/2019 10:30PM ET,DET,10.89
,,,,,,,,,,,,,,RW,Anthony Mantha (13775272),Anthony Mantha,13775272,W/UTIL,6600,DET@SJ 11/16/2019 10:30PM ET,DET,14.58
,,,,,,,,,,,,,,C,Nicklas Backstrom (13774956),Nicklas Backstrom,13774956,C/UTIL,6500,WAS@BOS 11/16/2019 07:00PM ET,WAS,9.42
,,,,,,,,,,,,,,G,Dan Vladar (13776313),Dan Vladar,13776313,G,6500,WAS@BOS 11/16/2019 07:00PM ET,BOS,0
,,,,,,,,,,,,,,G,Maxime Lagace (13776314),Maxime Lagace,13776314,G,6500,WAS@BOS 11/16/2019 07:00PM ET,BOS,0
,,,,,,,,,,,,,,G,Pheonix Copley (13776318),Pheonix Copley,13776318,G,6500,WAS@BOS 11/16/2019 07:00PM ET,WAS,0
,,,,,,,,,,,,,,G,Jonas Johansson (13776331),Jonas Johansson,13776331,G,6500,OTT@BUF 11/16/2019 07:00PM ET,BUF,0
,,,,,,,,,,,,,,G,Andrew Hammond (13776332),Andrew Hammond,13776332,G,6500,OTT@BUF 11/16/2019 07:00PM ET,BUF,0
,,,,,,,,,,,,,,G,Filip Gustavsson (13776333),Filip Gustavsson,13776333,G,6500,OTT@BUF 11/16/2019 07:00PM ET,OTT,0
,,,,,,,,,,,,,,G,Marcus Hogberg (13776334),Marcus Hogberg,13776334,G,6500,OTT@BUF 11/16/2019 07:00PM ET,OTT,0
,,,,,,,,,,,,,,G,Charlie Lindgren (13776315),Charlie Lindgren,13776315,G,6500,NJ@MON 11/16/2019 07:00PM ET,MON,0
,,,,,,,,,,,,,,G,Louis Domingue (13776319),Louis Domingue,13776319,G,6500,NJ@MON 11/16/2019 07:00PM ET,NJ,0
,,,,,,,,,,,,,,G,Evan Cormier (13776320),Evan Cormier,13776320,G,6500,NJ@MON 11/16/2019 07:00PM ET,NJ,0
,,,,,,,,,,,,,,LW,Artemi Panarin (13775278),Artemi Panarin,13775278,W/UTIL,6500,NYR@FLA 11/16/2019 07:00PM ET,NYR,13.19
,,,,,,,,,,,,,,G,Chris Driedger (13776326),Chris Driedger,13776326,G,6500,NYR@FLA 11/16/2019 07:00PM ET,FLA,0
,,,,,,,,,,,,,,G,Igor Shesterkin (13776329),Igor Shesterkin,13776329,G,6500,NYR@FLA 11/16/2019 07:00PM ET,NYR,0
,,,,,,,,,,,,,,G,Alex Lyon (13776322),Alex Lyon,13776322,G,6500,NYI@PHI 11/16/2019 07:00PM ET,PHI,0
,,,,,,,,,,,,,,G,J-F Berube (13776323),J-F Berube,13776323,G,6500,NYI@PHI 11/16/2019 07:00PM ET,PHI,0
,,,,,,,,,,,,,,G,Christopher Gibson (13776324),Christopher Gibson,13776324,G,6500,NYI@PHI 11/16/2019 07:00PM ET,NYI,0
,,,,,,,,,,,,,,LW,Jake Guentzel (13775276),Jake Guentzel,13775276,W/UTIL,6500,TOR@PIT 11/16/2019 07:00PM ET,PIT,11.49
,,,,,,,,,,,,,,G,Michael Hutchinson (13776325),Michael Hutchinson,13776325,G,6500,TOR@PIT 11/16/2019 07:00PM ET,TOR,7.4
,,,,,,,,,,,,,,G,Casey DeSmith (13776327),Casey DeSmith,13776327,G,6500,TOR@PIT 11/16/2019 07:00PM ET,PIT,0
,,,,,,,,,,,,,,G,Ville Husso (13776312),Ville Husso,13776312,G,6500,ANH@STL 11/16/2019 08:00PM ET,STL,0
,,,,,,,,,,,,,,G,Kevin Boyle (13776321),Kevin Boyle,13776321,G,6500,ANH@STL 11/16/2019 08:00PM ET,ANH,0
,,,,,,,,,,,,,,G,Collin Delia (13776310),Collin Delia,13776310,G,6500,CHI@NSH 11/16/2019 08:00PM ET,CHI,0
,,,,,,,,,,,,,,G,Kevin Lankinen (13776311),Kevin Lankinen,13776311,G,6500,CHI@NSH 11/16/2019 08:00PM ET,CHI,0
,,,,,,,,,,,,,,G,Troy Grosenick (13776328),Troy Grosenick,13776328,G,6500,CHI@NSH 11/16/2019 08:00PM ET,NSH,0
,,,,,,,,,,,,,,G,Zane McIntyre (13776316),Zane McIntyre,13776316,G,6500,COL@VAN 11/16/2019 10:00PM ET,VAN,0
,,,,,,,,,,,,,,G,Michael DiPietro (13776317),Michael DiPietro,13776317,G,6500,COL@VAN 11/16/2019 10:00PM ET,VAN,0
,,,,,,,,,,,,,,G,Calvin Pickard (13776330),Calvin Pickard,13776330,G,6500,DET@SJ 11/16/2019 10:30PM ET,DET,0
,,,,,,,,,,,,,,G,Josef Korenar (13776335),Josef Korenar,13776335,G,6500,DET@SJ 11/16/2019 10:30PM ET,SJ,0
,,,,,,,,,,,,,,LW,Taylor Hall (13775280),Taylor Hall,13775280,W/UTIL,6400,NJ@MON 11/16/2019 07:00PM ET,NJ,11.25
,,,,,,,,,,,,,,RW,Evgenii Dadonov (13775282),Evgenii Dadonov,13775282,W/UTIL,6400,NYR@FLA 11/16/2019 07:00PM ET,FLA,10.19
,,,,,,,,,,,,,,C,Sidney Crosby (13774960),Sidney Crosby,13774960,C/UTIL,6400,TOR@PIT 11/16/2019 07:00PM ET,PIT,11.33
,,,,,,,,,,,,,,D,Shea Weber (13775826),Shea Weber,13775826,D/UTIL,6300,NJ@MON 11/16/2019 07:00PM ET,MON,13.15
,,,,,,,,,,,,,,C,John Tavares (13774958),John Tavares,13774958,C/UTIL,6300,TOR@PIT 11/16/2019 07:00PM ET,TOR,9.89
,,,,,,,,,,,,,,RW,Viktor Arvidsson (13775284),Viktor Arvidsson,13775284,W/UTIL,6300,CHI@NSH 11/16/2019 08:00PM ET,NSH,8.79
,,,,,,,,,,,,,,RW,Sam Reinhart (13775288),Sam Reinhart,13775288,W/UTIL,6200,OTT@BUF 11/16/2019 07:00PM ET,BUF,9.82
,,,,,,,,,,,,,,D,Alex Pietrangelo (13775828),Alex Pietrangelo,13775828,D/UTIL,6200,ANH@STL 11/16/2019 08:00PM ET,STL,11.76
,,,,,,,,,,,,,,RW,Brock Boeser (13775286),Brock Boeser,13775286,W/UTIL,6200,COL@VAN 11/16/2019 10:00PM ET,VAN,11.44
,,,,,,,,,,,,,,C,Tomas Hertl (13774962),Tomas Hertl,13774962,C/UTIL,6200,DET@SJ 11/16/2019 10:30PM ET,SJ,12.54
,,,,,,,,,,,,,,C,Evgeny Kuznetsov (13774964),Evgeny Kuznetsov,13774964,C/UTIL,6100,WAS@BOS 11/16/2019 07:00PM ET,WAS,12.29
,,,,,,,,,,,,,,RW,T.J. Oshie (13775290),T.J. Oshie,13775290,W/UTIL,6100,WAS@BOS 11/16/2019 07:00PM ET,WAS,9.21
,,,,,,,,,,,,,,D,Morgan Rielly (13775830),Morgan Rielly,13775830,D/UTIL,6100,TOR@PIT 11/16/2019 07:00PM ET,TOR,11.7
,,,,,,,,,,,,,,C,Claude Giroux (13774966),Claude Giroux,13774966,C/UTIL,6000,NYI@PHI 11/16/2019 07:00PM ET,PHI,11.05
,,,,,,,,,,,,,,RW,Mitchell Marner (13775294),Mitchell Marner,13775294,W/UTIL,6000,TOR@PIT 11/16/2019 07:00PM ET,TOR,11.43
,,,,,,,,,,,,,,RW,J.T. Miller (13775292),J.T. Miller,13775292,W/UTIL,6000,COL@VAN 11/16/2019 10:00PM ET,VAN,10.62
,,,,,,,,,,,,,,D,Alexander Edler (13775832),Alexander Edler,13775832,D/UTIL,6000,COL@VAN 11/16/2019 10:00PM ET,VAN,13.09
,,,,,,,,,,,,,,LW,Jakub Vrana (13775296),Jakub Vrana,13775296,W/UTIL,5900,WAS@BOS 11/16/2019 07:00PM ET,WAS,10.78
,,,,,,,,,,,,,,C,Jean-Gabriel Pageau (13774968),Jean-Gabriel Pageau,13774968,C/UTIL,5900,OTT@BUF 11/16/2019 07:00PM ET,OTT,11.83
,,,,,,,,,,,,,,D,Jacob Trouba (13775834),Jacob Trouba,13775834,D/UTIL,5900,NYR@FLA 11/16/2019 07:00PM ET,NYR,11.62
,,,,,,,,,,,,,,C,Sean Couturier (13774972),Sean Couturier,13774972,C/UTIL,5800,NYI@PHI 11/16/2019 07:00PM ET,PHI,9.53
,,,,,,,,,,,,,,RW,Travis Konecny (13775298),Travis Konecny,13775298,W/UTIL,5800,NYI@PHI 11/16/2019 07:00PM ET,PHI,11.03
,,,,,,,,,,,,,,C,Ryan O'Reilly (13774970),Ryan O'Reilly,13774970,C/UTIL,5800,ANH@STL 11/16/2019 08:00PM ET,STL,10
,,,,,,,,,,,,,,RW,David Perron (13775300),David Perron,13775300,W/UTIL,5800,ANH@STL 11/16/2019 08:00PM ET,STL,10.4
,,,,,,,,,,,,,,D,Erik Karlsson (13775836),Erik Karlsson,13775836,D/UTIL,5800,DET@SJ 11/16/2019 10:30PM ET,SJ,9.28
,,,,,,,,,,,,,,LW,Victor Olofsson (13775302),Victor Olofsson,13775302,W/UTIL,5700,OTT@BUF 11/16/2019 07:00PM ET,BUF,9
,,,,,,,,,,,,,,D,Thomas Chabot (13775838),Thomas Chabot,13775838,D/UTIL,5700,OTT@BUF 11/16/2019 07:00PM ET,OTT,9.7
,,,,,,,,,,,,,,RW,Kyle Palmieri (13775304),Kyle Palmieri,13775304,W/UTIL,5700,NJ@MON 11/16/2019 07:00PM ET,NJ,9.13
,,,,,,,,,,,,,,C,Mika Zibanejad (13774976),Mika Zibanejad,13774976,C/UTIL,5700,NYR@FLA 11/16/2019 07:00PM ET,NYR,15.14
,,,,,,,,,,,,,,LW,Alex DeBrincat (13775306),Alex DeBrincat,13775306,W/UTIL,5700,CHI@NSH 11/16/2019 08:00PM ET,CHI,10.96
,,,,,,,,,,,,,,C,Logan Couture (13774974),Logan Couture,13774974,C/UTIL,5700,DET@SJ 11/16/2019 10:30PM ET,SJ,9.9
,,,,,,,,,,,,,,C,Max Domi (13774980),Max Domi,13774980,C/UTIL,5600,NJ@MON 11/16/2019 07:00PM ET,MON,8.27
,,,,,,,,,,,,,,RW,Mike Hoffman (13775310),Mike Hoffman,13775310,W/UTIL,5600,NYR@FLA 11/16/2019 07:00PM ET,FLA,10.7
,,,,,,,,,,,,,,C,Ryan Getzlaf (13774978),Ryan Getzlaf,13774978,C/UTIL,5600,ANH@STL 11/16/2019 08:00PM ET,ANH,10.6
,,,,,,,,,,,,,,D,Ryan Ellis (13775840),Ryan Ellis,13775840,D/UTIL,5600,CHI@NSH 11/16/2019 08:00PM ET,NSH,11.31
,,,,,,,,,,,,,,LW,Timo Meier (13775308),Timo Meier,13775308,W/UTIL,5600,DET@SJ 11/16/2019 10:30PM ET,SJ,9.68
,,,,,,,,,,,,,,RW,Anthony Duclair (13775318),Anthony Duclair,13775318,W/UTIL,5500,OTT@BUF 11/16/2019 07:00PM ET,OTT,8.98
,,,,,,,,,,,,,,RW,Bryan Rust (13775312),Bryan Rust,13775312,W/UTIL,5500,TOR@PIT 11/16/2019 07:00PM ET,PIT,11.61
