Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,
40590-8266,D,Duncan,Duncan Keith,Keith,8.544444613986546,18,4600,CHI@NSH,CHI,NSH,,,,,
40590-82087,C,Filip,Filip Chytil,Chytil,14.199999809265137,8,4600,NYR@FLA,NYR,FLA,,,,,
40590-58877,W,Conor,Conor Sheary,Sheary,6.757142748151507,14,4600,OTT@BUF,BUF,OTT,,,,,
40590-70199,D,Devon,Devon Toews,Toews,9.847058464499082,17,4600,NYI@PHI,NYI,PHI,,,,,
40590-80475,W,Oskar,Oskar Lindblom,Lindblom,11.642105102539062,19,4600,NYI@PHI,PHI,NYI,,,,,
40590-61246,D,Colton,Colton Parayko,Parayko,10.509999847412109,20,4600,ANH@STL,STL,ANH,,,,,
40590-39870,W,Tanner,Tanner Pearson,Pearson,10.634999847412109,20,4600,COL@VAN,VAN,COL,,,,,
40590-66709,C,Jared,Jared McCann,McCann,10.476470947265625,17,4500,TOR@PIT,PIT,TOR,,,,,
40590-54477,W,Bryan,Bryan Rust,Rust,14.550000190734863,8,4500,TOR@PIT,PIT,TOR,,,,,
40590-55607,D,Aaron,Aaron Ekblad,Ekblad,11.222222222222221,18,4500,NYR@FLA,FLA,NYR,,,,,
40590-70128,W,Danton,Danton Heinen,Heinen,7.042105423776727,19,4500,WSH@BOS,BOS,WSH,,,,,
40590-58891,W,Kevin,Kevin Labanc,Labanc,8.490000152587891,20,4500,DET@SJ,SJ,DET,,,,,
40590-70279,W,J.T.,J.T. Compher,Compher,8.456250190734863,16,4500,COL@VAN,COL,VAN,,,,,
40590-23226,W,Tom,Tom Wilson,Wilson,13.195238385881696,21,4500,WSH@BOS,WSH,BOS,,,,,
40590-14456,D,Mattias,Mattias Ekholm,Ekholm,11.288888719346788,18,4400,CHI@NSH,NSH,CHI,,,,,
40590-39145,D,Danny,Danny DeKeyser,DeKeyser,10,8,4400,DET@SJ,DET,SJ,IR,Undisclosed,,,
40590-70912,D,Charlie,Charlie McAvoy,McAvoy,6.594737002724095,19,4400,WSH@BOS,BOS,WSH,,,,,
40590-70928,C,Sam,Sam Steel,Steel,6.493750095367432,16,4400,ANH@STL,ANH,STL,,,,,
40590-39245,D,Jacob,Jacob Trouba,Trouba,12.017647238338695,17,4400,NYR@FLA,NYR,FLA,,,,,
40590-9990,C,Lars,Lars Eller,Eller,9.399999709356399,21,4400,WSH@BOS,WSH,BOS,,,,,
40590-11122,C,Nick,Nick Bonino,Bonino,12.649999830457899,18,4400,CHI@NSH,NSH,CHI,,,,,
40590-15313,W,Vladislav,Vladislav Namestnikov,Namestnikov,10.452631900185033,19,4400,OTT@BUF,OTT,BUF,,,,,
40590-43022,W,Connor,Connor Brown,Brown,10.384210686934622,19,4300,OTT@BUF,OTT,BUF,,,,,
40590-43120,W,Anthony,Anthony Duclair,Duclair,10.384210686934622,19,4300,OTT@BUF,OTT,BUF,,,,,
40590-14474,D,Sami,Sami Vatanen,Vatanen,10.446666463216145,15,4300,NJ@MON,NJ,MON,IR,Upper body,,,
40590-12609,W,Zach,Zach Hyman,Hyman,6.400000095367432,2,4300,TOR@PIT,TOR,PIT,,,,,
40590-39464,D,Hampus,Hampus Lindholm,Lindholm,9.473333740234375,15,4300,ANH@STL,ANH,STL,IR,Undisclosed,,,
40590-16969,C,Charlie,Charlie Coyle,Coyle,7.957894576223273,19,4300,WSH@BOS,BOS,WSH,,,,,
40590-13981,D,Tyson,Tyson Barrie,Barrie,7.795237949916294,21,4300,TOR@PIT,TOR,PIT,,,,,
40590-62294,D,Brady,Brady Skjei,Skjei,8.800000190734863,16,4300,NYR@FLA,NYR,FLA,,,,,
40590-15239,W,Craig,Craig Smith,Smith,7.200000339084202,18,4300,CHI@NSH,NSH,CHI,,,,,
40590-15255,W,Josh,Josh Leivo,Leivo,7.544999694824218,20,4300,COL@VAN,VAN,COL,,,,,
40590-11170,D,Nick,Nick Leddy,Leddy,8.40769254244291,13,4300,NYI@PHI,NYI,PHI,,,,,
40590-62492,D,Erik,Erik Gustafsson,Gustafsson,6.317647148581112,17,4200,CHI@NSH,CHI,NSH,,,,,
40590-73909,D,Samuel,Samuel Girard,Girard,7.531579268606086,19,4200,COL@VAN,COL,VAN,,,,,
40590-43200,D,Ryan,Ryan Pulock,Pulock,10.22352959127987,17,4200,NYI@PHI,NYI,PHI,,,,,
