CSV was read! There are 17 players.
Ryan Newman (D),Matt DiBenedetto (D),Erik Jones (D),Denny Hamlin (D),Kyle Larson (D),49000,18425,20400
Joe Nemechek (D),Kurt Busch (D),Erik Jones (D),Denny Hamlin (D),Kyle Larson (D),45700,144675,83400
Parker Kligerman (D),Kurt Busch (D),Erik Jones (D),Denny Hamlin (D),Kyle Larson (D),46200,144675,83400
Ross Chastain (D),Kurt Busch (D),Erik Jones (D),Denny Hamlin (D),Kyle Larson (D),46700,112175,68400
Matt Tifft (D),Kurt Busch (D),Erik Jones (D),Denny Hamlin (D),Kyle Larson (D),46700,77175,48400
Ty Dillon (D),Kurt Busch (D),Erik Jones (D),Denny Hamlin (D),Kyle Larson (D),48700,37175,48400
Austin Dillon (D),Kurt Busch (D),Erik Jones (D),Denny Hamlin (D),Kyle Larson (D),49200,34675,38400
Michael McDowell (D),Kurt Busch (D),Erik Jones (D),Denny Hamlin (D),Kyle Larson (D),48200,18175,22400
Ty Dillon (D),Ryan Newman (D),Matt DiBenedetto (D),Brad Keselowski (D),Kyle Larson (D),46000,45475,56800
Austin Dillon (D),Ryan Newman (D),Matt DiBenedetto (D),Brad Keselowski (D),Kyle Larson (D),46500,42975,46800
Michael McDowell (D),Ryan Newman (D),Matt DiBenedetto (D),Brad Keselowski (D),Kyle Larson (D),45500,26475,30800
Ty Dillon (D),Austin Dillon (D),Kurt Busch (D),Brad Keselowski (D),Kyle Larson (D),46200,61725,74800
Ty Dillon (D),Michael McDowell (D),Kurt Busch (D),Brad Keselowski (D),Kyle Larson (D),45200,45225,58800
Austin Dillon (D),Michael McDowell (D),Kurt Busch (D),Brad Keselowski (D),Kyle Larson (D),45700,42725,48800
Joe Nemechek (D),Ryan Newman (D),Kurt Busch (D),Brad Keselowski (D),Kyle Larson (D),46200,150725,89800
Parker Kligerman (D),Ryan Newman (D),Kurt Busch (D),Brad Keselowski (D),Kyle Larson (D),46700,150725,89800
Ross Chastain (D),Ryan Newman (D),Kurt Busch (D),Brad Keselowski (D),Kyle Larson (D),47200,118225,74800
Matt Tifft (D),Ryan Newman (D),Kurt Busch (D),Brad Keselowski (D),Kyle Larson (D),47200,83225,54800
Ty Dillon (D),Ryan Newman (D),Kurt Busch (D),Brad Keselowski (D),Kyle Larson (D),49200,43225,54800
Austin Dillon (D),Ryan Newman (D),Kurt Busch (D),Brad Keselowski (D),Kyle Larson (D),49700,40725,44800
Michael McDowell (D),Ryan Newman (D),Kurt Busch (D),Brad Keselowski (D),Kyle Larson (D),48700,24225,28800
Joe Nemechek (D),Matt DiBenedetto (D),Kurt Busch (D),Brad Keselowski (D),Kyle Larson (D),45700,146725,84800
Parker Kligerman (D),Matt DiBenedetto (D),Kurt Busch (D),Brad Keselowski (D),Kyle Larson (D),46200,146725,84800
Ross Chastain (D),Matt DiBenedetto (D),Kurt Busch (D),Brad Keselowski (D),Kyle Larson (D),46700,114225,69800
Matt Tifft (D),Matt DiBenedetto (D),Kurt Busch (D),Brad Keselowski (D),Kyle Larson (D),46700,79225,49800
Ty Dillon (D),Matt DiBenedetto (D),Kurt Busch (D),Brad Keselowski (D),Kyle Larson (D),48700,39225,49800
Austin Dillon (D),Matt DiBenedetto (D),Kurt Busch (D),Brad Keselowski (D),Kyle Larson (D),49200,36725,39800
Michael McDowell (D),Matt DiBenedetto (D),Kurt Busch (D),Brad Keselowski (D),Kyle Larson (D),48200,20225,23800
Ross Chastain (D),Ryan Newman (D),Erik Jones (D),Brad Keselowski (D),Kyle Larson (D),45000,117975,74800
Matt Tifft (D),Ryan Newman (D),Erik Jones (D),Brad Keselowski (D),Kyle Larson (D),45000,82975,54800
Ty Dillon (D),Ryan Newman (D),Erik Jones (D),Brad Keselowski (D),Kyle Larson (D),47000,42975,54800
Austin Dillon (D),Ryan Newman (D),Erik Jones (D),Brad Keselowski (D),Kyle Larson (D),47500,40475,44800
Michael McDowell (D),Ryan Newman (D),Erik Jones (D),Brad Keselowski (D),Kyle Larson (D),46500,23975,28800
Ty Dillon (D),Matt DiBenedetto (D),Erik Jones (D),Brad Keselowski (D),Kyle Larson (D),46500,38975,49800
Austin Dillon (D),Matt DiBenedetto (D),Erik Jones (D),Brad Keselowski (D),Kyle Larson (D),47000,36475,39800
Michael McDowell (D),Matt DiBenedetto (D),Erik Jones (D),Brad Keselowski (D),Kyle Larson (D),46000,19975,23800
Ryan Newman (D),Matt DiBenedetto (D),Erik Jones (D),Brad Keselowski (D),Kyle Larson (D),50000,17975,19800
Joe Nemechek (D),Kurt Busch (D),Erik Jones (D),Brad Keselowski (D),Kyle Larson (D),46700,144225,82800
Parker Kligerman (D),Kurt Busch (D),Erik Jones (D),Brad Keselowski (D),Kyle Larson (D),47200,144225,82800
Ross Chastain (D),Kurt Busch (D),Erik Jones (D),Brad Keselowski (D),Kyle Larson (D),47700,111725,67800
Matt Tifft (D),Kurt Busch (D),Erik Jones (D),Brad Keselowski (D),Kyle Larson (D),47700,76725,47800
Ty Dillon (D),Kurt Busch (D),Erik Jones (D),Brad Keselowski (D),Kyle Larson (D),49700,36725,47800
Michael McDowell (D),Kurt Busch (D),Erik Jones (D),Brad Keselowski (D),Kyle Larson (D),49200,17725,21800
Ty Dillon (D),Austin Dillon (D),Denny Hamlin (D),Brad Keselowski (D),Kyle Larson (D),46500,60275,73400
Ty Dillon (D),Michael McDowell (D),Denny Hamlin (D),Brad Keselowski (D),Kyle Larson (D),45500,43775,57400
