Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Kalle Kossila (13687220),Kalle Kossila,13687220,C/UTIL,2500,TOR@PHI 11/02/2019 07:00PM ET,TOR,0
C,Morgan Frost (13687238),Morgan Frost,13687238,C/UTIL,2500,TOR@PHI 11/02/2019 07:00PM ET,PHI,0
C,Tyler Gaudet (13687250),Tyler Gaudet,13687250,C/UTIL,2500,TOR@PHI 11/02/2019 07:00PM ET,TOR,0
LW,Dmytro Timashov (13687634),Dmytro Timashov,13687634,W/UTIL,2500,TOR@PHI 11/02/2019 07:00PM ET,TOR,4.23
RW,Chris Stewart (13687636),Chris Stewart,13687636,W/UTIL,2500,TOR@PHI 11/02/2019 07:00PM ET,PHI,1.32
LW,Carsen Twarynski (13687638),Carsen Twarynski,13687638,W/UTIL,2500,TOR@PHI 11/02/2019 07:00PM ET,PHI,2.69
RW,Frederik Gauthier (13687664),Frederik Gauthier,13687664,W/UTIL,2500,TOR@PHI 11/02/2019 07:00PM ET,TOR,3.74
LW,Tyler Pitlick (13687672),Tyler Pitlick,13687672,W/UTIL,2500,TOR@PHI 11/02/2019 07:00PM ET,PHI,2.02
LW,Andy Andreoff (13687808),Andy Andreoff,13687808,W/UTIL,2500,TOR@PHI 11/02/2019 07:00PM ET,PHI,0
LW,Nic Petan (13687810),Nic Petan,13687810,W/UTIL,2500,TOR@PHI 11/02/2019 07:00PM ET,TOR,2.75
RW,Garrett Wilson (13687814),Garrett Wilson,13687814,W/UTIL,2500,TOR@PHI 11/02/2019 07:00PM ET,TOR,0
LW,Kenny Agostino (13687820),Kenny Agostino,13687820,W/UTIL,2500,TOR@PHI 11/02/2019 07:00PM ET,TOR,0
RW,Jeremy Bracco (13687874),Jeremy Bracco,13687874,W/UTIL,2500,TOR@PHI 11/02/2019 07:00PM ET,TOR,0
RW,David Kase (13687876),David Kase,13687876,W/UTIL,2500,TOR@PHI 11/02/2019 07:00PM ET,PHI,0
RW,Maxim Sushko (13687880),Maxim Sushko,13687880,W/UTIL,2500,TOR@PHI 11/02/2019 07:00PM ET,PHI,0
LW,Matthew Strome (13687898),Matthew Strome,13687898,W/UTIL,2500,TOR@PHI 11/02/2019 07:00PM ET,PHI,0
RW,Pontus Aberg (13687904),Pontus Aberg,13687904,W/UTIL,2500,TOR@PHI 11/02/2019 07:00PM ET,TOR,0
RW,Nicolas Aube-Kubel (13687924),Nicolas Aube-Kubel,13687924,W/UTIL,2500,TOR@PHI 11/02/2019 07:00PM ET,PHI,0
D,Martin Marincin (13688190),Martin Marincin,13688190,D/UTIL,2500,TOR@PHI 11/02/2019 07:00PM ET,TOR,3.27
D,Justin Holl (13688198),Justin Holl,13688198,D/UTIL,2500,TOR@PHI 11/02/2019 07:00PM ET,TOR,4.42
D,Philippe Myers (13688210),Philippe Myers,13688210,D/UTIL,2500,TOR@PHI 11/02/2019 07:00PM ET,PHI,1.3
D,Nate Prosser (13688382),Nate Prosser,13688382,D/UTIL,2500,TOR@PHI 11/02/2019 07:00PM ET,PHI,0
D,Ben Harpur (13688384),Ben Harpur,13688384,D/UTIL,2500,TOR@PHI 11/02/2019 07:00PM ET,TOR,0
D,Jordan Schmaltz (13688390),Jordan Schmaltz,13688390,D/UTIL,2500,TOR@PHI 11/02/2019 07:00PM ET,TOR,0
D,Kevin Gravel (13688398),Kevin Gravel,13688398,D/UTIL,2500,TOR@PHI 11/02/2019 07:00PM ET,TOR,2.3
D,Samuel Morin (13688432),Samuel Morin,13688432,D/UTIL,2500,TOR@PHI 11/02/2019 07:00PM ET,PHI,0
D,Rasmus Sandin (13688440),Rasmus Sandin,13688440,D/UTIL,2500,TOR@PHI 11/02/2019 07:00PM ET,TOR,3.57
D,Mark Friedman (13688450),Mark Friedman,13688450,D/UTIL,2500,TOR@PHI 11/02/2019 07:00PM ET,PHI,0
D,Andy Welinski (13688454),Andy Welinski,13688454,D/UTIL,2500,TOR@PHI 11/02/2019 07:00PM ET,PHI,0
