Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
LW,Nic Petan (13604810),Nic Petan,13604810,W/UTIL,2500,CLS@TOR 10/21/2019 07:00PM ET,TOR,3.17
RW,Garrett Wilson (13604826),Garrett Wilson,13604826,W/UTIL,2500,CLS@TOR 10/21/2019 07:00PM ET,TOR,0
RW,Lukas Sedlak (13604830),Lukas Sedlak,13604830,W/UTIL,2500,CLS@TOR 10/21/2019 07:00PM ET,CLS,0
LW,Nathan Gerbe (13604850),Nathan Gerbe,13604850,W/UTIL,2500,CLS@TOR 10/21/2019 07:00PM ET,CLS,0
LW,Marko Dano (13604860),Marko Dano,13604860,W/UTIL,2500,CLS@TOR 10/21/2019 07:00PM ET,CLS,0
RW,Kole Sherwood (13604872),Kole Sherwood,13604872,W/UTIL,2500,CLS@TOR 10/21/2019 07:00PM ET,CLS,0
RW,Pontus Aberg (13604878),Pontus Aberg,13604878,W/UTIL,2500,CLS@TOR 10/21/2019 07:00PM ET,TOR,0
LW,Kenny Agostino (13604880),Kenny Agostino,13604880,W/UTIL,2500,CLS@TOR 10/21/2019 07:00PM ET,TOR,0
RW,Markus Hannikainen (13604882),Markus Hannikainen,13604882,W/UTIL,2500,CLS@TOR 10/21/2019 07:00PM ET,CLS,0
RW,Jeremy Bracco (13604886),Jeremy Bracco,13604886,W/UTIL,2500,CLS@TOR 10/21/2019 07:00PM ET,TOR,0
D,Dean Kukan (13604982),Dean Kukan,13604982,D/UTIL,2500,CLS@TOR 10/21/2019 07:00PM ET,CLS,3
D,David Savard (13604984),David Savard,13604984,D/UTIL,2500,CLS@TOR 10/21/2019 07:00PM ET,CLS,3.1
D,Travis Dermott (13604992),Travis Dermott,13604992,D/UTIL,2500,CLS@TOR 10/21/2019 07:00PM ET,TOR,0
D,Scott Harrington (13604996),Scott Harrington,13604996,D/UTIL,2500,CLS@TOR 10/21/2019 07:00PM ET,CLS,2.6
D,Kevin Gravel (13604998),Kevin Gravel,13604998,D/UTIL,2500,CLS@TOR 10/21/2019 07:00PM ET,TOR,0
D,Adam Clendening (13605022),Adam Clendening,13605022,D/UTIL,2500,CLS@TOR 10/21/2019 07:00PM ET,CLS,0
D,Ben Harpur (13605026),Ben Harpur,13605026,D/UTIL,2500,CLS@TOR 10/21/2019 07:00PM ET,TOR,0
D,Gabriel Carlsson (13605028),Gabriel Carlsson,13605028,D/UTIL,2500,CLS@TOR 10/21/2019 07:00PM ET,CLS,0
D,Jordan Schmaltz (13605032),Jordan Schmaltz,13605032,D/UTIL,2500,CLS@TOR 10/21/2019 07:00PM ET,TOR,0
D,Rasmus Sandin (13605038),Rasmus Sandin,13605038,D/UTIL,2500,CLS@TOR 10/21/2019 07:00PM ET,TOR,3.57
C,Connor Bunnaman (13604632),Connor Bunnaman,13604632,C/UTIL,2500,VGK@PHI 10/21/2019 07:00PM ET,PHI,1.82
C,Morgan Frost (13604638),Morgan Frost,13604638,C/UTIL,2500,VGK@PHI 10/21/2019 07:00PM ET,PHI,0
C,Mikhail Vorobyev (13604642),Mikhail Vorobyev,13604642,C/UTIL,2500,VGK@PHI 10/21/2019 07:00PM ET,PHI,0
C,Patrick Brown (13604646),Patrick Brown,13604646,C/UTIL,2500,VGK@PHI 10/21/2019 07:00PM ET,VGK,0
C,Peyton Krebs (13604658),Peyton Krebs,13604658,C/UTIL,2500,VGK@PHI 10/21/2019 07:00PM ET,VGK,0
C,German Rubtsov (13604664),German Rubtsov,13604664,C/UTIL,2500,VGK@PHI 10/21/2019 07:00PM ET,PHI,0
C,Nicolas Roy (13604670),Nicolas Roy,13604670,C/UTIL,2500,VGK@PHI 10/21/2019 07:00PM ET,VGK,0
RW,Ryan Reaves (13604786),Ryan Reaves,13604786,W/UTIL,2500,VGK@PHI 10/21/2019 07:00PM ET,VGK,3.48
LW,Carsen Twarynski (13604800),Carsen Twarynski,13604800,W/UTIL,2500,VGK@PHI 10/21/2019 07:00PM ET,PHI,2.63
RW,Chris Stewart (13604802),Chris Stewart,13604802,W/UTIL,2500,VGK@PHI 10/21/2019 07:00PM ET,PHI,0.65
LW,Valentin Zykov (13604816),Valentin Zykov,13604816,W/UTIL,2500,VGK@PHI 10/21/2019 07:00PM ET,VGK,3.49
RW,David Kase (13604832),David Kase,13604832,W/UTIL,2500,VGK@PHI 10/21/2019 07:00PM ET,PHI,0
RW,Maxim Sushko (13604834),Maxim Sushko,13604834,W/UTIL,2500,VGK@PHI 10/21/2019 07:00PM ET,PHI,0
LW,Joel Farabee (13604846),Joel Farabee,13604846,W/UTIL,2500,VGK@PHI 10/21/2019 07:00PM ET,PHI,0
LW,Curtis McKenzie (13604848),Curtis McKenzie,13604848,W/UTIL,2500,VGK@PHI 10/21/2019 07:00PM ET,VGK,0
LW,Matthew Strome (13604858),Matthew Strome,13604858,W/UTIL,2500,VGK@PHI 10/21/2019 07:00PM ET,PHI,0
LW,Tyrell Goulbourne (13604862),Tyrell Goulbourne,13604862,W/UTIL,2500,VGK@PHI 10/21/2019 07:00PM ET,VGK,0
LW,Andy Andreoff (13604866),Andy Andreoff,13604866,W/UTIL,2500,VGK@PHI 10/21/2019 07:00PM ET,PHI,0
RW,Nicolas Aube-Kubel (13604884),Nicolas Aube-Kubel,13604884,W/UTIL,2500,VGK@PHI 10/21/2019 07:00PM ET,PHI,0
D,Nicolas Hague (13605004),Nicolas Hague,13605004,D/UTIL,2500,VGK@PHI 10/21/2019 07:00PM ET,VGK,3.46
D,Samuel Morin (13605006),Samuel Morin,13605006,D/UTIL,2500,VGK@PHI 10/21/2019 07:00PM ET,PHI,0
D,Zach Whitecloud (13605012),Zach Whitecloud,13605012,D/UTIL,2500,VGK@PHI 10/21/2019 07:00PM ET,VGK,0
D,Mark Friedman (13605034),Mark Friedman,13605034,D/UTIL,2500,VGK@PHI 10/21/2019 07:00PM ET,PHI,0
D,Jaycob Megna (13605050),Jaycob Megna,13605050,D/UTIL,2500,VGK@PHI 10/21/2019 07:00PM ET,VGK,0
D,Philippe Myers (13605054),Philippe Myers,13605054,D/UTIL,2500,VGK@PHI 10/21/2019 07:00PM ET,PHI,0
D,Jimmy Schuldt (13605058),Jimmy Schuldt,13605058,D/UTIL,2500,VGK@PHI 10/21/2019 07:00PM ET,VGK,0
D,Nate Prosser (13605062),Nate Prosser,13605062,D/UTIL,2500,VGK@PHI 10/21/2019 07:00PM ET,PHI,0
D,Andy Welinski (13605064),Andy Welinski,13605064,D/UTIL,2500,VGK@PHI 10/21/2019 07:00PM ET,PHI,0
C,Pierre-Edouard Bellemare (13604624),Pierre-Edouard Bellemare,13604624,C/UTIL,2500,COL@STL 10/21/2019 08:00PM ET,COL,4.15
C,Sheldon Dries (13604644),Sheldon Dries,13604644,C/UTIL,2500,COL@STL 10/21/2019 08:00PM ET,COL,0
C,Klim Kostin (13604660),Klim Kostin,13604660,C/UTIL,2500,COL@STL 10/21/2019 08:00PM ET,STL,0
C,Mike Vecchione (13604662),Mike Vecchione,13604662,C/UTIL,2500,COL@STL 10/21/2019 08:00PM ET,STL,0
LW,Ivan Barbashev (13604792),Ivan Barbashev,13604792,W/UTIL,2500,COL@STL 10/21/2019 08:00PM ET,STL,4.24
RW,Valeri Nichushkin (13604796),Valeri Nichushkin,13604796,W/UTIL,2500,COL@STL 10/21/2019 08:00PM ET,COL,2.76
LW,Zach Sanford (13604804),Zach Sanford,13604804,W/UTIL,2500,COL@STL 10/21/2019 08:00PM ET,STL,1.02
RW,MacKenzie MacEachern (13604808),MacKenzie MacEachern,13604808,W/UTIL,2500,COL@STL 10/21/2019 08:00PM ET,STL,1.3
RW,Vladislav Kamenev (13604812),Vladislav Kamenev,13604812,W/UTIL,2500,COL@STL 10/21/2019 08:00PM ET,COL,0
RW,Jordan Kyrou (13604820),Jordan Kyrou,13604820,W/UTIL,2500,COL@STL 10/21/2019 08:00PM ET,STL,0
LW,A.J. Greer (13604836),A.J. Greer,13604836,W/UTIL,2500,COL@STL 10/21/2019 08:00PM ET,COL,0
RW,Martin Kaut (13604840),Martin Kaut,13604840,W/UTIL,2500,COL@STL 10/21/2019 08:00PM ET,COL,0
RW,Nick Henry (13604842),Nick Henry,13604842,W/UTIL,2500,COL@STL 10/21/2019 08:00PM ET,COL,0
RW,Logan O'Connor (13604844),Logan O'Connor,13604844,W/UTIL,2500,COL@STL 10/21/2019 08:00PM ET,COL,0
LW,Jordan Nolan (13604864),Jordan Nolan,13604864,W/UTIL,2500,COL@STL 10/21/2019 08:00PM ET,STL,0
