Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Odds,,,,,,
WR,Willie Snead IV (13565216),Willie Snead IV,13565216,WR/FLEX,4200,BAL@SEA 10/20/2019 04:25PM ET,BAL,8.22,325,,,Any Other BUF Bills Player,1800,1800,325
QB,Tyrod Taylor (13564923),Tyrod Taylor,13564923,QB,4200,LAC@TEN 10/20/2019 04:05PM ET,LAC,0.04,#N/A,,,T.J. Yeldon,2200,2200,400
RB,Jeff Wilson Jr. (13565010),Jeff Wilson Jr.,13565010,RB/FLEX,4200,SF@WAS 10/20/2019 01:00PM ET,SF,9.73,750,,,Cole Beasley,2200,2200,425
WR,Paul Richardson Jr. (13565218),Paul Richardson Jr.,13565218,WR/FLEX,4200,SF@WAS 10/20/2019 01:00PM ET,WAS,8.05,375,,,Tyler Kroft,2200,2200,425
TE,Jimmy Graham (13565414),Jimmy Graham,13565414,TE/FLEX,4200,OAK@GB 10/20/2019 01:00PM ET,GB,6.82,145,,,Mark Walton,2200,2200,550
QB,Taysom Hill (13564930),Taysom Hill,13564930,QB,4100,NO@CHI 10/20/2019 04:25PM ET,NO,3.29,600,,,Mike Gesicki,3000,3000,800
RB,Adrian Peterson (13565016),Adrian Peterson,13565016,RB/FLEX,4100,SF@WAS 10/20/2019 01:00PM ET,WAS,7.76,190,,,Albert Wilson,3000,3000,750
WR,Dante Pettis (13565220),Dante Pettis,13565220,WR/FLEX,4100,SF@WAS 10/20/2019 01:00PM ET,SF,4.79,250,,,Isaiah McKenzie,3500,3500,650
DST,49ers  (13565563),49ers ,13565563,DST,4100,SF@WAS 10/20/2019 01:00PM ET,SF,14,#N/A,,,Robert Foster,3500,3500,650
RB,Javorius Allen (13565020),Javorius Allen,13565020,RB/FLEX,4100,ARI@NYG 10/20/2019 01:00PM ET,NYG,0,2200,,,Jakeem Grant,3500,3500,950
WR,Darius Slayton (13565224),Darius Slayton,13565224,WR/FLEX,4100,ARI@NYG 10/20/2019 01:00PM ET,NYG,9.22,225,,,Any Other Miami Dolphins Player,4000,4000,1050
QB,Brian Hoyer (13564928),Brian Hoyer,13564928,QB,4100,HOU@IND 10/20/2019 01:00PM ET,IND,0,#N/A,,,Kalen Ballage,5000,5000,1200
QB,Chad Kelly (13564929),Chad Kelly,13564929,QB,4100,HOU@IND 10/20/2019 01:00PM ET,IND,0,#N/A,,,Tommy Sweeney,7000,7000,1400
RB,Duke Johnson (13565018),Duke Johnson,13565018,RB/FLEX,4100,HOU@IND 10/20/2019 01:00PM ET,HOU,8.57,240,,,Allen Hurns,7000,7000,2000
WR,Hunter Renfrow (13565226),Hunter Renfrow,13565226,WR/FLEX,4100,OAK@GB 10/20/2019 01:00PM ET,OAK,4.42,240,,,Nick O'Leary,8000,8000,2000
QB,David Blough (13564926),David Blough,13564926,QB,4100,MIN@DET 10/20/2019 01:00PM ET,DET,0,#N/A,,,Lee Smith,10000,10000,1800
QB,Jeff Driskel (13564927),Jeff Driskel,13564927,QB,4100,MIN@DET 10/20/2019 01:00PM ET,DET,0,#N/A,,,Andre Roberts,10000,10000,1800
QB,Ryan Finley (13564925),Ryan Finley,13564925,QB,4100,JAX@CIN 10/20/2019 01:00PM ET,CIN,0,#N/A,,,Patrick DiMarco,10000,10000,2200
RB,Kenyan Drake (13565014),Kenyan Drake,13565014,RB/FLEX,4100,MIA@BUF 10/20/2019 01:00PM ET,MIA,9.4,400,,,Myles Gaskin,10000,10000,2200
WR,Duke Williams (13565222),Duke Williams,13565222,WR/FLEX,4100,MIA@BUF 10/20/2019 01:00PM ET,BUF,12.9,300,,,Isaiah Ford,10000,10000,2200
QB,Matt Schaub (13564924),Matt Schaub,13564924,QB,4100,LAR@ATL 10/20/2019 01:00PM ET,ATL,0,#N/A,,,Chandler Cox,10000,10000,2200
QB,Trace McSorley (13564937),Trace McSorley,13564937,QB,4000,BAL@SEA 10/20/2019 04:25PM ET,BAL,0,#N/A,,,Ryan Fitzpatrick,10000,10000,2200
